url,id,slike,naslov
https://www.realitica.com/hr/listing/1307669,1307669,"[""https://www.realitica.com/images/listing_photos/1307669_rovcanin_dnevna-sa-kuhinjom.jpg"",""https://www.realitica.com/images/listing_photos/1307669_untitled-4.jpg"",""https://www.realitica.com/images/listing_photos/1307669_rovcanin_kupatilo.jpg"",""https://www.realitica.com/images/listing_photos/1307669_rovcanin_balkon-pogled.jpg""]","Iznajmljujem Stan-Apartman, preko puta City hotela"
https://www.realitica.com/hr/listing/1649879,1649879,"[""https://www.realitica.com/images/listing_photos/1649879_20180724_194122-vb.jpg"",""/b_images/1649879_20180724_192717.jpg"",""/b_images/1649879_20180724_193333.jpg"",""/b_images/1649879_20180724_193642.jpg""]","Iznajmljujem Stan-Apartman, City Kvart-Delta"
https://www.realitica.com/hr/listing/1548116,1548116,"[""https://www.realitica.com/images/listing_photos/1548116_pisco-real-estate--5-.jpg"",""https://www.realitica.com/images/listing_photos/1548116_pisco-real-estate--7-.jpg"",""https://www.realitica.com/images/listing_photos/1548116_pisco-real-estate--10-.jpg"",""https://www.realitica.com/images/listing_photos/1548116_pisco-real-estate--11-.jpg""]","Iznajmljujem Stan-Apartman, City Kvart-Delta"
https://www.realitica.com/hr/listing/1307221,1307221,"[""https://www.realitica.com/images/listing_photos/1307221_1307221_222222.jpg"",""https://www.realitica.com/images/listing_photos/1307221_dsc09150.jpg"",""https://www.realitica.com/images/listing_photos/1307221_1a.jpg"",""https://www.realitica.com/images/listing_photos/1307221_44444444444.jpg""]","Izdajem Stan-Apartman, Stari Aerodrom"
https://www.realitica.com/hr/listing/2426280,2426280,"[""https://www.realitica.com/images/listing_photos/2426280_dsc06606.jpg"",""https://www.realitica.com/images/listing_photos/2426280_dsc06608.jpg""]","Iznajmljujem Stan-Apartman, Bar"
https://www.realitica.com/hr/listing/1792412,1792412,"[""https://www.realitica.com/images/listing_photos/1792412_8c366dce-ae4b-4007-8f59-2986a193b8ae.jpeg"",""https://www.realitica.com/images/listing_photos/1792412_1329248c-588e-42f5-94ae-c1e3817bbd04.jpeg"",""https://www.realitica.com/images/listing_photos/1792412_8b0962b5-202f-4c4b-a728-e44851c27511.jpeg"",""https://www.realitica.com/images/listing_photos/1792412_e1659805-e865-4ce4-9978-2a8ee56e7f0c.jpeg""]","Iznajmljujem Stan-Apartman, Bečići"
https://www.realitica.com/hr/listing/1649879,1649879,"[""https://www.realitica.com/images/listing_photos/1649879_20180724_194122-vb.jpg"",""/b_images/1649879_20180724_192717.jpg"",""/b_images/1649879_20180724_193333.jpg"",""/b_images/1649879_20180724_193642.jpg""]","Iznajmljujem Stan-Apartman, City Kvart-Delta"
https://www.realitica.com/hr/listing/1641924,1641924,"[""/b_images/1641924_e5221c79-e3c8-47cb-8f52-5e9d90ea180e.jpeg"",""https://www.realitica.com/images/listing_photos/1641924_fa721878-8b2e-40cd-8f5d-71e2d1cfb629.jpeg"",""https://www.realitica.com/images/listing_photos/1641924_0b90ceaf-b679-4021-9270-0d4181ff2447.jpeg"",""https://www.realitica.com/images/listing_photos/1641924_8c630ebf-70dc-40b1-a028-59d41ac6cc67.jpeg""]","Iznajmljujem Stan-Apartman, Igalo"
https://www.realitica.com/hr/listing/1307221,1307221,"[""https://www.realitica.com/images/listing_photos/1307221_1307221_222222.jpg"",""https://www.realitica.com/images/listing_photos/1307221_dsc09150.jpg"",""https://www.realitica.com/images/listing_photos/1307221_1a.jpg"",""https://www.realitica.com/images/listing_photos/1307221_44444444444.jpg""]","Izdajem Stan-Apartman, Stari Aerodrom"
https://www.realitica.com/hr/listing/514437,514437,"[""https://www.realitica.com/images/listing_photos/514437_img_20190411_203944a.jpg"",""https://www.realitica.com/images/listing_photos/514437_img_20181023_190256.jpg"",""https://www.realitica.com/images/listing_photos/514437_img-368d36bd8c68e1ef4cfb508ab8058716-v.jpg"",""https://www.realitica.com/images/listing_photos/514437_img-dd66f9df01a1518ca17523bbc42f7e62-v.jpg""]",APARTMAN U PODGORICI
